string_field_0,string_field_1
Cosmopolitan,BAR CLASSIC COCKTAILS
Mojito,BAR CLASSIC COCKTAILS
Frozen Jungle Daiquiri,BAR CLASSIC COCKTAILS
Side Car,BAR CLASSIC COCKTAILS
Stinger,BAR CLASSIC COCKTAILS
Manhattan,BAR CLASSIC COCKTAILS
Old Fashioned,BAR CLASSIC COCKTAILS
White Lady,BAR CLASSIC COCKTAILS
Negroni,BAR CLASSIC COCKTAILS
Sex On The Beach,BAR CLASSIC COCKTAILS
Between The Sheets,BAR CLASSIC COCKTAILS
Sunrise Tequila,BAR CLASSIC COCKTAILS
Blue Lagoon,BAR CLASSIC COCKTAILS
Caprioska,BAR CLASSIC COCKTAILS
Sangria,BAR CLASSIC COCKTAILS
Heaven Melon,BAR CLASSIC COCKTAILS
Martini,BAR CLASSIC COCKTAILS
Vodka Tini,BAR CLASSIC COCKTAILS
Bull Frog,BAR CLASSIC COCKTAILS
Double Bull Frog,BAR CLASSIC COCKTAILS
Toddy,BAR CLASSIC COCKTAILS
Gimlet,BAR CLASSIC COCKTAILS
Cranberry Classic,BAR CLASSIC COCKTAILS
Guava Delight,BAR CLASSIC COCKTAILS
Kamikaze,BAR CLASSIC COCKTAILS
Whisky Sour Chivas Regal 18 Yrs,BAR CLASSIC COCKTAILS
Whisky Sour Jura,BAR CLASSIC COCKTAILS
Hara Bhara Kabab,INDIAN STARTER & SOUP
TOMATO SOUP,INDIAN STARTER & SOUP
TOMATO BASIL SOUP,INDIAN STARTER & SOUP
SHORBA,INDIAN STARTER & SOUP
Dum Pukht Biryani,INDIAN BIRYANI & PULAO
Hyderabadi Biryani,INDIAN BIRYANI & PULAO
Bhatkal Biryani,INDIAN BIRYANI & PULAO
Kolkata Biryani,INDIAN BIRYANI & PULAO
Navratan Pulao,INDIAN BIRYANI & PULAO
Jeera Rice,INDIAN BIRYANI & PULAO
Basmati Rice,INDIAN BIRYANI & PULAO
Brown Rice,INDIAN BIRYANI & PULAO
Sea Food Dum Biryani,INDIAN BIRYANI & PULAO
EGG BIRYANI,INDIAN BIRYANI & PULAO
DAL KHICHDI,INDIAN BIRYANI & PULAO
DAL PALAK KHICHDI,INDIAN BIRYANI & PULAO
PALAK KHICHDI,INDIAN BIRYANI & PULAO
VEG PULAO,INDIAN BIRYANI & PULAO
PEAS PULAO,INDIAN BIRYANI & PULAO
THIN BLUE LINE,BAR LIQUEURS & SHOOTERS
B52,BAR LIQUEURS & SHOOTERS
LAMBORGHINI,BAR LIQUEURS & SHOOTERS
COINTREAU,BAR LIQUEURS & SHOOTERS
BAILEY'S IRISH CREAM,BAR LIQUEURS & SHOOTERS
JAGERMEISTER,BAR LIQUEURS & SHOOTERS
SAMBUCA,BAR LIQUEURS & SHOOTERS
BLUE CURACAO,BAR LIQUEURS & SHOOTERS
Creme De Menthe,BAR LIQUEURS & SHOOTERS
Kahlua,BAR LIQUEURS & SHOOTERS
Spicy Malaysian Noodles,ORIENTAL RICE & NOODLES
Fragrance Rice,ORIENTAL RICE & NOODLES
Oriental Noodles,ORIENTAL RICE & NOODLES
FRIED RICE,ORIENTAL RICE & NOODLES
SZECHWAN FRIED RICE,ORIENTAL RICE & NOODLES
CORIANDER NOODLES,ORIENTAL RICE & NOODLES
HONG KONG NOODLES,ORIENTAL RICE & NOODLES
MALAYSIAN NOODLES,ORIENTAL RICE & NOODLES
BURNT GARLIC RICE,ORIENTAL RICE & NOODLES
BURNT GARLIC NOODLES,ORIENTAL RICE & NOODLES
SHANGHAI RICE,ORIENTAL RICE & NOODLES
SHANGHAI NOODLES,ORIENTAL RICE & NOODLES
ORIENTAL RICE,ORIENTAL RICE & NOODLES
GREEN PEPPER NOODLES,ORIENTAL RICE & NOODLES
YANMEIN NOODLES,ORIENTAL RICE & NOODLES
HOT POT RICE,ORIENTAL RICE & NOODLES
HOT POT NOODLES,ORIENTAL RICE & NOODLES
FUTCHI RICE,ORIENTAL RICE & NOODLES
FUTCHI NOODLES,ORIENTAL RICE & NOODLES
FORTUNE RICE,ORIENTAL RICE & NOODLES
FORTUNE NOODLES,ORIENTAL RICE & NOODLES
SPICY LIME RICE,ORIENTAL RICE & NOODLES
SPICY LIME NOODLES,ORIENTAL RICE & NOODLES
AMERICAN CHOPSUEY,ORIENTAL RICE & NOODLES
HAKKA NOODLES,ORIENTAL RICE & NOODLES
SZECHWAN NOODLE,ORIENTAL RICE & NOODLES
THAI FRIED RICE,ORIENTAL RICE & NOODLES
PAN FRIED NOODLES,ORIENTAL RICE & NOODLES
Thai Herb Rice,ORIENTAL RICE & NOODLES
CAMPARI,BAR APERITIF & IRISH WHISKY
MARTINI (dry/swee),BAR APERITIF & IRISH WHISKY
JAMESON,BAR APERITIF & IRISH WHISKY
Henri Bardouin Pastis,BAR APERITIF & IRISH WHISKY
Raita,"PANTRY SALAD , RAITA & MORE"
Plain Curd,"PANTRY SALAD , RAITA & MORE"
Khasta Chaat,"PANTRY SALAD , RAITA & MORE"
Amaercian Cole Slaw,"PANTRY SALAD , RAITA & MORE"
Ceasar Salad,"PANTRY SALAD , RAITA & MORE"
Healthy Wealthy Salad,"PANTRY SALAD , RAITA & MORE"
Fresh Spinach & Lettuce Salad,"PANTRY SALAD , RAITA & MORE"
Fresh Garden Salad,"PANTRY SALAD , RAITA & MORE"
Tossed Salad,"PANTRY SALAD , RAITA & MORE"
Green Salad,"PANTRY SALAD , RAITA & MORE"
Hawain Salad,"PANTRY SALAD , RAITA & MORE"
Saladde Annabella,"PANTRY SALAD , RAITA & MORE"
Papad Masala,"PANTRY SALAD , RAITA & MORE"
Papad Fried,"PANTRY SALAD , RAITA & MORE"
ROASTED PAPAD,"PANTRY SALAD , RAITA & MORE"
ROASTED MASALA PAPAD,"PANTRY SALAD , RAITA & MORE"
Cheese Cherry Pineapple,"PANTRY SALAD , RAITA & MORE"
